18 November 2018 01:39:16 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              

         0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0
      0.01      -0.0175954      0.00252586     6.78989e-05      0.00249659     3.78099e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663     3.78445e-05      0.00249663     3.82987e-05      0.00249663     0.000214952      0.00249619
      0.02       -0.035587      0.00510422     0.000275281      0.00498608     0.000152492      0.00498635     0.000152771      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635     0.000152774      0.00498635     0.000154397      0.00498635     0.000546326      0.00498479
      0.03       -0.053983      0.00773629     0.000627816      0.00746801     0.000345952      0.00746894     0.000346914      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346925      0.00746893     0.000350437      0.00746892     0.000942528      0.00746558
      0.04       -0.072791       0.0104233      0.00113137      0.00994191     0.000620135      0.00994413     0.000622469      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412      0.00062249      0.00994412     0.000628603      0.00994409      0.00140596      0.00993835
      0.05      -0.0920185       0.0131664      0.00179199       0.0124073     0.000977025       0.0124117     0.000981687       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117     0.000981724       0.0124117     0.000991183       0.0124116      0.00195298       0.0124028
      0.06       -0.111673       0.0159669      0.00261595       0.0148636      0.00141864       0.0148713      0.00142688       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142694       0.0148713      0.00144049       0.0148712      0.00260931       0.0148588
      0.07        -0.13176       0.0188261      0.00360972       0.0173104      0.00194706       0.0173228      0.00196044       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196051       0.0173227      0.00197891       0.0173226      0.00326983       0.0173059
      0.08       -0.152287       0.0217454      0.00477996        0.019747      0.00256436       0.0197659      0.00258479       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258489       0.0197657      0.00260891       0.0197655      0.00408338        0.019744
      0.09       -0.173259       0.0247259      0.00613356        0.022173      0.00327271       0.0222002      0.00330245          0.0222      0.00330222          0.0222      0.00330223          0.0222      0.00330223          0.0222      0.00330256          0.0222      0.00333299       0.0221997      0.00501149       0.0221727
       0.1        -0.19468        0.027769      0.00767763       0.0245877      0.00407428       0.0246256      0.00411601       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411566       0.0246252      0.00411612       0.0246252      0.00415374       0.0246248      0.00602133       0.0245918
      0.11       -0.216555       0.0308761      0.00941951       0.0269905       0.0049713       0.0270416       0.0050281       0.0270411      0.00502756       0.0270411      0.00502757       0.0270411      0.00502757       0.0270411      0.00502819       0.0270411      0.00507383       0.0270406       0.0071134        0.027001
      0.12       -0.238887       0.0340485       0.0113667       0.0293807      0.00596604       0.0294481      0.00604146       0.0294474      0.00604068       0.0294474      0.00604069       0.0294474       0.0060407       0.0294474       0.0060415       0.0294474      0.00609597       0.0294467      0.00828231          0.0294
      0.13       -0.261677       0.0372875       0.0135271       0.0317578      0.00706082       0.0318447      0.00715888       0.0318437      0.00715778       0.0318437      0.00715779       0.0318437       0.0071578       0.0318437      0.00715884       0.0318437      0.00722297       0.0318428      0.00958033       0.0317884
      0.14       -0.284926       0.0405946       0.0159085       0.0341209      0.00825798       0.0342311      0.00838324       0.0342297      0.00838172       0.0342297      0.00838173       0.0342297      0.00838175       0.0342297      0.00838306       0.0342297      0.00845772       0.0342286       0.0109452        0.034166
      0.15       -0.308634        0.043971       0.0185193       0.0364695      0.00955993        0.036607      0.00971748       0.0366051      0.00971543       0.0366051      0.00971546       0.0366051      0.00971548       0.0366051       0.0097171       0.0366051      0.00980316       0.0366037       0.0124898       0.0365325
      0.16       -0.332799        0.047418       0.0213679       0.0388027       0.0109691        0.038972       0.0111647       0.0389696       0.0111619       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011164       0.0389696       0.0112623       0.0389679       0.0140923       0.0388874
      0.17       -0.357417       0.0509372        0.024463       0.0411198        0.012488       0.0413259       0.0127279       0.0413227       0.0127243       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127268       0.0413227       0.0128384       0.0413207       0.0158386       0.0412305
      0.18       -0.382483       0.0545296       0.0278136       0.0434201       0.0141192       0.0436682       0.0144103       0.0436642       0.0144058       0.0436643       0.0144058       0.0436643       0.0144059       0.0436643       0.0144088       0.0436642       0.0145345       0.0436618         0.01773       0.0435613
      0.19        -0.40799       0.0581966       0.0314287       0.0457026       0.0158652       0.0459987       0.0162153       0.0459937       0.0162095       0.0459937       0.0162096       0.0459937       0.0162097       0.0459937       0.0162131       0.0459937        0.016354       0.0459908       0.0196837       0.0458796
       0.2        -0.43393       0.0619396       0.0353177       0.0479665       0.0177287        0.048317       0.0181463       0.0483107        0.018139       0.0483108       0.0181391       0.0483108       0.0181392       0.0483108       0.0181432       0.0483107       0.0183003       0.0483074       0.0218229       0.0481848
      0.21        -0.46029       0.0657596       0.0394903        0.050211       0.0197123       0.0506227       0.0202066       0.0506149       0.0201975        0.050615       0.0201976        0.050615       0.0201977        0.050615       0.0202025       0.0506149       0.0203768        0.050611       0.0240845       0.0504766
      0.22       -0.487058       0.0696578       0.0439563       0.0524351       0.0218188       0.0529155       0.0223999       0.0529059       0.0223887       0.0529061       0.0223889       0.0529061        0.022389        0.052906       0.0223945        0.052906       0.0225872       0.0529014       0.0264812       0.0527546
      0.23       -0.514217       0.0736355       0.0487257        0.054638        0.024051       0.0551949       0.0247298       0.0551833       0.0247161       0.0551835       0.0247163       0.0551835       0.0247165       0.0551835       0.0247229       0.0551833       0.0249351       0.0551782       0.0290136       0.0550183
      0.24        -0.54175       0.0776936       0.0538087       0.0568186       0.0264116       0.0574606       0.0272002       0.0574466       0.0271835       0.0574468       0.0271838       0.0574468        0.027184       0.0574468       0.0271913       0.0574467       0.0274244       0.0574408       0.0316862       0.0572672
      0.25       -0.569635       0.0818331       0.0592159       0.0589759       0.0289035       0.0597123       0.0298148       0.0596954       0.0297947       0.0596957       0.0297951       0.0596957       0.0297953       0.0596957       0.0298036       0.0596955        0.030059       0.0596888       0.0345302       0.0595009
      0.26        -0.59785        0.086055       0.0649577       0.0611089       0.0315297       0.0619493       0.0325776       0.0619293       0.0325536       0.0619297        0.032554       0.0619297       0.0325543       0.0619297       0.0325638       0.0619295       0.0328429       0.0619219       0.0375819       0.0617188
      0.27       -0.626366       0.0903601       0.0710452       0.0632166       0.0342931       0.0641715       0.0354928       0.0641478       0.0354642       0.0641482       0.0354647       0.0641482        0.035465       0.0641482       0.0354759        0.064148       0.0357803       0.0641395       0.0408259       0.0639204
      0.28       -0.655156       0.0947491       0.0774892       0.0652977       0.0371967       0.0663783       0.0385645       0.0663504       0.0385307        0.066351       0.0385313       0.0663509       0.0385317       0.0663509       0.0385439       0.0663507       0.0388753       0.0663411       0.0442344       0.0661051
      0.29       -0.684188       0.0992226        0.084301       0.0673513       0.0402436       0.0685694       0.0417971       0.0685366       0.0417572       0.0685373        0.041758       0.0685373       0.0417584       0.0685373       0.0417722        0.068537       0.0421325       0.0685263       0.0478304       0.0682724
       0.3       -0.713426        0.103781       0.0914918       0.0693761        0.043437       0.0707442       0.0451948        0.070706       0.0451481       0.0707069        0.045149       0.0707069       0.0451495       0.0707068        0.045165       0.0707065       0.0455563       0.0706946       0.0516456       0.0704216
      0.31       -0.742834        0.108425       0.0990731        0.071371       0.0467801       0.0729023       0.0487624       0.0728581       0.0487078       0.0728591        0.048709        0.072859       0.0487095        0.072859       0.0487269       0.0728586       0.0491514       0.0728454       0.0556249        0.072552
