18 November 2018 01:50:17 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              

         0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0
      0.01      -0.0176255      0.00252589     7.78901e-06      0.00249666     3.78099e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663     3.78439e-05      0.00249663
      0.02      -0.0357098      0.00510449     3.02586e-05      0.00498662     0.000152492      0.00498635     0.000152769      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635
      0.03      -0.0542648      0.00773721      6.6005e-05      0.00746985     0.000345953      0.00746894     0.000346908      0.00746893      0.00034691      0.00746893      0.00034691      0.00746893      0.00034691      0.00746893      0.00034691      0.00746893      0.00034691      0.00746893      0.00034691      0.00746893
      0.04      -0.0733021       0.0104255     0.000113542      0.00994634     0.000620141      0.00994413      0.00062245      0.00994412     0.000622458      0.00994412     0.000622458      0.00994412     0.000622458      0.00994412     0.000622458      0.00994412     0.000622458      0.00994412     0.000622458      0.00994412
      0.05      -0.0928333       0.0131708     0.000171305        0.012416     0.000977043       0.0124117     0.000981644       0.0124117     0.000981664       0.0124117     0.000981664       0.0124117     0.000981664       0.0124117     0.000981664       0.0124117     0.000981664       0.0124117     0.000981664       0.0124117
      0.06        -0.11287       0.0159746      0.00023765        0.014879      0.00141868       0.0148713       0.0014268       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713
      0.07       -0.133422       0.0188386     0.000310847       0.0173351      0.00194713       0.0173228      0.00196027       0.0173227      0.00196035       0.0173227      0.00196035       0.0173227      0.00196035       0.0173227      0.00196035       0.0173227      0.00196035       0.0173227      0.00196035       0.0173227
      0.08       -0.154501       0.0217642     0.000389072       0.0197844       0.0025645       0.0197659      0.00258451       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657
      0.09       -0.176115        0.024753     0.000470451        0.022227      0.00327293       0.0222002        0.003302          0.0222      0.00330222          0.0222      0.00330222          0.0222      0.00330222          0.0222      0.00330222          0.0222      0.00330222          0.0222      0.00330222          0.0222
       0.1       -0.198276       0.0278068     0.000552994       0.0246628      0.00407462       0.0246256       0.0041153       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252
      0.11       -0.220991       0.0309272      0.00063461       0.0270918      0.00497181       0.0270416      0.00502704       0.0270411      0.00502756       0.0270411      0.00502756       0.0270411      0.00502756       0.0270411      0.00502756       0.0270411      0.00502756       0.0270411      0.00502756       0.0270411
      0.12       -0.244266       0.0341157     0.000713207       0.0295141      0.00596679       0.0294481      0.00603992       0.0294474      0.00604068       0.0294474      0.00604068       0.0294474      0.00604068       0.0294474      0.00604068       0.0294474      0.00604068       0.0294474      0.00604068       0.0294474
      0.13        -0.26811       0.0373742     0.000786533       0.0319296      0.00706187       0.0318447      0.00715671       0.0318437      0.00715777       0.0318437      0.00715778       0.0318437      0.00715778       0.0318437      0.00715778       0.0318437      0.00715778       0.0318437      0.00715778       0.0318437
      0.14       -0.292527       0.0407044     0.000852282       0.0343385      0.00825942       0.0342311      0.00838025       0.0342297      0.00838171       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297
      0.15        -0.31752       0.0441079     0.000908028       0.0367408      0.00956188       0.0366069      0.00971346       0.0366052      0.00971543       0.0366051      0.00971545       0.0366051      0.00971545       0.0366051      0.00971545       0.0366051      0.00971545       0.0366051      0.00971545       0.0366051
      0.16       -0.343092       0.0475865     0.000951405       0.0391366       0.0109717        0.038972       0.0111593       0.0389696       0.0111619       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696
      0.17       -0.369242        0.051142     0.000979848       0.0415258       0.0124914       0.0413258       0.0127209       0.0413228       0.0127243       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228
      0.18        -0.39597       0.0547759     0.000990772       0.0439086       0.0141235       0.0436682       0.0144014       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643
      0.19       -0.423271       0.0584902     0.000981481        0.046285       0.0158707       0.0459987        0.016204       0.0459938       0.0162095       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937
       0.2       -0.451138       0.0622864     0.000949384       0.0486552       0.0177355       0.0483169       0.0181321       0.0483109        0.018139       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108
      0.21       -0.479562       0.0661661     0.000891695       0.0510192       0.0197208       0.0506226       0.0201889       0.0506151       0.0201975        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615
      0.22       -0.508531       0.0701311     0.000805605       0.0533772       0.0218292       0.0529153       0.0223782       0.0529062       0.0223887       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061
      0.23        -0.53803       0.0741828     0.000688393       0.0557292       0.0240637       0.0551947       0.0247033       0.0551836       0.0247161       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835
      0.24        -0.56804       0.0783228     0.000537216       0.0580754       0.0264269       0.0574604        0.027168       0.0574471       0.0271835       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468
      0.25        -0.59854       0.0825525     0.000349263        0.060416        0.028922        0.059712        0.029776        0.059696       0.0297947       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957
      0.26       -0.629502       0.0868732     0.000121766       0.0627509       0.0315518        0.061949       0.0325313         0.06193       0.0325536       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297
      0.27       -0.660898       0.0912862    -0.000148114       0.0650805       0.0343193       0.0641711       0.0354377       0.0641487       0.0354642       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482       0.0354647       0.0641482
      0.28       -0.692693       0.0957927    -0.000463082       0.0674049       0.0372277       0.0663778       0.0384994       0.0663515       0.0385307        0.066351       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509
      0.29       -0.724851        0.100394    -0.000825818       0.0697242       0.0402801       0.0685687       0.0417204        0.068538       0.0417572       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373
       0.3       -0.757329         0.10509     -0.00123888       0.0720386       0.0434797       0.0707434       0.0451051       0.0707076       0.0451481       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069
      0.31       -0.790082        0.109882      -0.0017049       0.0743483       0.0468298       0.0729014       0.0486578         0.07286       0.0487079       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591        0.048709       0.0728591
