24 November 2018 01:44:54 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              

         0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0               0
      0.01      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663      3.7844e-05      0.00249663     3.78484e-05      0.00249663     4.17642e-05      0.00249662      0.00226343      0.00249281
      0.02      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635      0.00015277      0.00498635     0.000152806      0.00498635     0.000168716      0.00498632      0.00471036      0.00497101
      0.03     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000346912      0.00746893     0.000347037      0.00746893     0.000383441      0.00746881      0.00737624      0.00743417
      0.04     0.000622461      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412     0.000622461      0.00994412     0.000622462      0.00994412     0.000622763      0.00994412      0.00068868      0.00994383       0.0101286      0.00988177
      0.05     0.000981667       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117     0.000981667       0.0124117      0.00098167       0.0124117     0.000982271       0.0124117      0.00108724       0.0124111       0.0130571       0.0123133
      0.06      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142684       0.0148713      0.00142685       0.0148713      0.00142791       0.0148713      0.00158203       0.0148703       0.0162146       0.0147283
      0.07      0.00196036       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196036       0.0173227      0.00196037       0.0173227      0.00196209       0.0173227      0.00217602       0.0173211       0.0195432       0.0171261
      0.08      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258465       0.0197657      0.00258467       0.0197657       0.0025873       0.0197657      0.00287229       0.0197633       0.0229602       0.0195063
      0.09      0.00330223          0.0222      0.00330223          0.0222      0.00330223          0.0222      0.00330223          0.0222      0.00330223          0.0222      0.00330223          0.0222      0.00330226          0.0222      0.00330608          0.0222      0.00367399       0.0221965       0.0266399       0.0218682
       0.1      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252      0.00411565       0.0246252       0.0041157       0.0246252      0.00412107       0.0246252       0.0045844       0.0246203          0.0305       0.0242113
      0.11      0.00502757       0.0270411      0.00502757       0.0270411      0.00502757       0.0270411      0.00502757       0.0270411      0.00502757       0.0270411      0.00502757       0.0270411      0.00502764       0.0270411      0.00503495       0.0270411      0.00560688       0.0270345       0.0346194       0.0265349
      0.12      0.00604069       0.0294474      0.00604069       0.0294474      0.00604069       0.0294474      0.00604069       0.0294474      0.00604069       0.0294474      0.00604069       0.0294474      0.00604079       0.0294474      0.00605049       0.0294473      0.00674488       0.0294386       0.0388556       0.0288385
      0.13      0.00715779       0.0318437      0.00715779       0.0318437      0.00715779       0.0318437      0.00715779       0.0318437      0.00715779       0.0318437      0.00715779       0.0318437      0.00715793       0.0318437      0.00717055       0.0318436      0.00800198       0.0318324       0.0433624       0.0311214
      0.14      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838173       0.0342297      0.00838193       0.0342297      0.00839804       0.0342296      0.00938185       0.0342154        0.048003       0.0333829
      0.15      0.00971546       0.0366051      0.00971546       0.0366051      0.00971546       0.0366051      0.00971546       0.0366051      0.00971546       0.0366051      0.00971546       0.0366051      0.00971572       0.0366051      0.00973599       0.0366049       0.0108883       0.0365872       0.0529201       0.0356225
      0.16        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696        0.011162       0.0389696       0.0111623       0.0389696       0.0111875       0.0389693       0.0125251       0.0389475       0.0581202       0.0378393
      0.17       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127244       0.0413228       0.0127248       0.0413228       0.0127557       0.0413224       0.0142964       0.0412959       0.0634719       0.0400327
      0.18       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144058       0.0436643       0.0144064       0.0436643       0.0144439       0.0436638       0.0162063       0.0436318       0.0691253       0.0422019
      0.19       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162096       0.0459937       0.0162104       0.0459937       0.0162554       0.0459931       0.0182591        0.045955       0.0749364       0.0443462
       0.2       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108       0.0181391       0.0483108         0.01814       0.0483108       0.0181938         0.04831       0.0204591       0.0482649       0.0810629       0.0464649
      0.21       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201976        0.050615       0.0201988        0.050615       0.0202624        0.050614       0.0228108        0.050561       0.0874369       0.0485571
      0.22       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223889       0.0529061       0.0223903        0.052906       0.0224651       0.0529048       0.0253189        0.052843       0.0941571        0.050622
      0.23       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247163       0.0551835       0.0247181       0.0551834       0.0248055       0.0551819       0.0279881       0.0551102        0.101055       0.0526589
      0.24       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468       0.0271838       0.0574468        0.027186       0.0574468       0.0272875        0.057445       0.0308234       0.0573623        0.108229       0.0546667
      0.25       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297951       0.0596957       0.0297977       0.0596957       0.0299151       0.0596935       0.0338299       0.0595986        0.115755       0.0566448
      0.26        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297        0.032554       0.0619297       0.0325572       0.0619296       0.0326922        0.061927       0.0370127       0.0618187        0.123593       0.0585921
      0.27       0.0354648       0.0641482       0.0354648       0.0641482       0.0354648       0.0641482       0.0354648       0.0641482       0.0354648       0.0641482       0.0354648       0.0641482       0.0354685       0.0641482       0.0356231       0.0641451       0.0403772        0.064022        0.131662       0.0605077
      0.28       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385313       0.0663509       0.0385358       0.0663509       0.0387121       0.0663473       0.0439288       0.0662079        0.140133       0.0623908
      0.29        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373        0.041758       0.0685373       0.0417632       0.0685372       0.0419636        0.068533       0.0476734       0.0683758         0.14877       0.0642403
       0.3        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069        0.045149       0.0707069       0.0451552       0.0707067       0.0453821       0.0707018       0.0516166       0.0705252        0.157914       0.0660552
      0.31        0.048709        0.072859        0.048709        0.072859        0.048709        0.072859        0.048709        0.072859        0.048709        0.072859        0.048709        0.072859       0.0487162       0.0728589       0.0489721       0.0728532       0.0557645       0.0726554        0.167299       0.0678345
